"segment_name","file_location","lead_count","verified_emails","campaign_status","assigned_domain","assigned_campaign"
"justin_v9_sam_segmentation_with_master","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\justin_v9_sam_segmentation_with_master.py","","","Unknown","",""
"SAM_INTELLIGENCE_SEGMENTED","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\SAM_INTELLIGENCE_SEGMENTED.csv","14303","","Unknown","",""
"justin_v10_true_sam_segmentation","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\justin_v10_true_sam_segmentation.py","","","Unknown","",""
"SAM_TRUE_SEGMENTED","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\SAM_TRUE_SEGMENTED.csv","14303","","Unknown","",""
"justin_v11_true_sam_segmentation","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\justin_v11_true_sam_segmentation.py","","","Unknown","",""
"justin_v12_true_sam_segmentation","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\justin_v12_true_sam_segmentation.py","","","Unknown","",""
"build_final_segmentation","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\build_final_segmentation.py","","","Unknown","",""
"SAM_FINAL_SEGMENTED","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\SAM_FINAL_SEGMENTED.csv","14303","","Unknown","",""
"build_true_segments_from_awards","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\build_true_segments_from_awards.py","","","Unknown","",""
"USA_SEGMENTED_COMPANIES","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\USA_SEGMENTED_COMPANIES.csv","229732","","Unknown","",""
"connect_leads_to_segments","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\connect_leads_to_segments.py","","","Unknown","",""
"build_true_segments_v2","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\build_true_segments_v2.py","","","Unknown","",""
"P2GC_READY_TO_SEND_V2","D:\P2GC_Intelligence\ORION_CORE\From B12 042926\P2GC_READY_TO_SEND_V2.csv","14303","","Unknown","",""
"P2GC_GSA_Schedule_Segmented_Leads_WITH_CONTACTS","D:\P2GC_Intelligence\ORION_CORE\CONSOLIDATION OF LEADS\P2GC_GSA_Schedule_Segmented_Leads_WITH_CONTACTS.xlsx","","","Unknown","",""
